OBJECTID,DATE_CAPTURED,SCIENTIFIC_NAME,CAPTURE_METHOD,TOTAL_LENGTH,HEAD_LENGTH,SEX,SNOUT_VENT_LENGTH,TAIL_COMPLETE,REGION,ZONE_CODE
3832,2021-06-11 0:00,C. porosus,Trap,380,55,M,172,Y,Darwin,6
4035,2021-06-10 0:00,C. porosus,Trap,247,37,M,118,Y,Darwin,3
4038,2021-06-09 0:00,C. porosus,Trap,271,38,M,131,Y,Darwin,7
3804,2021-06-06 0:00,C. porosus,Trap,376,54,M,178,Y,Darwin,4
3805,2021-06-06 0:00,C. porosus,Trap,342,46,M,166,Y,Darwin,3
4131,2021-06-03 0:00,C. porosus,Trap,254,37,M,121,U,Darwin,4
4136,2021-06-03 0:00,C. porosus,Trap,233,33,M,107,U,Darwin,4
3771,2021-06-02 0:00,C. porosus,Trap,211,29,M,97,Y,Darwin,6
3888,2021-06-02 0:00,C. porosus,Trap,301,43,M,148,Y,Borroloola,8
4034,2021-06-02 0:00,C. porosus,Trap,164,26,M,74,Y,Darwin,6
4079,2021-06-02 0:00,C. porosus,Trap,313,43,M,157,Y,Borroloola,8
4171,2021-06-02 0:00,C. porosus,Trap,301,43,M,148,Y,Borroloola,8
4267,2021-06-01 0:00,C. porosus,Trap,180,26,M,85,Y,Darwin,3
4268,2021-06-01 0:00,C. porosus,Trap,175,26,M,81,U,Darwin,1
3803,2021-05-30 0:00,C. porosus,Trap,244,36,M,110,Y,Darwin,1
3853,2021-05-28 0:00,C. porosus,Trap,145,25,M,74,N,Darwin,6
4222,2021-05-26 0:00,C. porosus,Trap,160,24,F,71,Y,Darwin,4
4223,2021-05-26 0:00,C. porosus,Trap,177,26,M,82,Y,Darwin,1
4224,2021-05-26 0:00,C. porosus,Trap,230,33,M,107,Y,Darwin,5
4132,2021-05-21 0:00,C. porosus,Trap,262,37,M,120,Y,Darwin,3
4133,2021-05-20 0:00,C. porosus,Trap,315,44,M,148,Y,Darwin,3
4134,2021-05-20 0:00,C. porosus,Trap,201,29,M,94,Y,Darwin,1
4220,2021-05-19 0:00,C. porosus,Trap,134,19,M,64,Y,Darwin,6
4221,2021-05-19 0:00,C. porosus,Trap,179,26,F,84,Y,Darwin,4
4272,2021-05-14 0:00,C. johnstoni,Trap,152,27,F,77,Y,Darwin,1
4271,2021-05-13 0:00,C. porosus,Trap,227,32,M,106,Y,Darwin,6
3814,2021-05-10 0:00,C. porosus,Trap,320,43,M,147,U,Darwin,7
4063,2021-05-10 0:00,C. porosus,Trap,230,33,M,107,Y,Darwin,1
3813,2021-05-09 0:00,C. porosus,Trap,270,37,M,122,Y,Darwin,1
3812,2021-05-06 0:00,C. porosus,Harpoon,149,20,M,68,Y,Darwin,4
4128,2021-05-06 0:00,C. porosus,Harpoon,272,41,F,129,Y,Darwin,4
4129,2021-05-06 0:00,C. porosus,Harpoon,144,21,M,66,Y,Darwin,4
4130,2021-05-06 0:00,C. porosus,Harpoon,134,20,M,64,Y,Darwin,4
3894,2021-05-04 0:00,C. porosus,Trap,168,25,M,81,Y,Darwin,4
3895,2021-05-04 0:00,C. porosus,Trap,245,35,M,115,Y,Darwin,6
4263,2021-05-04 0:00,C. porosus,Harpoon,177,24,M,82,Y,Darwin,4
4264,2021-05-04 0:00,C. porosus,Harpoon,147,21,M,67,Y,Darwin,4
4160,2021-05-03 0:00,C. porosus,Trap,230,32,M,110,Y,Nhulunbuy,9
4227,2021-05-03 0:00,C. porosus,Trap,242,37,F,116,Y,Nhulunbuy,9
3909,2021-05-02 0:00,C. porosus,Trap,157,24,F,80,U,Darwin,1
3815,2021-04-30 0:00,C. porosus,Trap,208,30,F,95,Y,Darwin,6
3839,2021-04-28 0:00,C. porosus,Trap,187,28,M,86,Y,Darwin,3
3840,2021-04-28 0:00,C. porosus,Trap,312,42,M,142,Y,Darwin,4
3841,2021-04-28 0:00,C. porosus,Trap,194,28,M,91,Y,Darwin,4
3842,2021-04-28 0:00,C. porosus,Trap,162,23,M,72,Y,Darwin,1
